ApId;PointId;Vendor;FrequencyGHz;Rssi
AP1;P1;Unifi;2,4;-50
AP1;P1;Unifi;5;-65
AP1;P1;Ruckus;2,4;-64
AP1;P1;Ruckus;5;-42
AP1;P1;Cambium;2,4;-61
AP1;P1;Cambium;5;-69
AP2;P1;Unifi;2,4;-60
AP2;P1;Unifi;5;-70
AP2;P1;Ruckus;2,4;-68
AP2;P1;Ruckus;5;-54
AP2;P1;Cambium;2,4;-67
AP2;P1;Cambium;5;-78
AP3;P1;Unifi;2,4;-80
AP3;P1;Unifi;5;-86
AP3;P1;Ruckus;2,4;-74
AP3;P1;Ruckus;5;-70
AP3;P1;Cambium;2,4;-85
AP3;P1;Cambium;5;-88
AP4;P1;Unifi;2,4;-63
AP4;P1;Unifi;5;-75
AP4;P1;Ruckus;2,4;-68
AP4;P1;Ruckus;5;-51
AP4;P1;Cambium;2,4;-76
AP4;P1;Cambium;5;-88
AP1;P2;Unifi;2,4;-58
AP1;P2;Unifi;5;-69
AP1;P2;Ruckus;2,4;-74
AP1;P2;Ruckus;5;-53
AP1;P2;Cambium;2,4;-74
AP1;P2;Cambium;5;-82
AP2;P2;Unifi;2,4;-65
AP2;P2;Unifi;5;-71
AP2;P2;Ruckus;2,4;-72
AP2;P2;Ruckus;5;-60
AP2;P2;Cambium;2,4;-72
AP2;P2;Cambium;5;-80
AP3;P2;Unifi;2,4;-76
AP3;P2;Unifi;5;-86
AP3;P2;Ruckus;2,4;-77
AP3;P2;Ruckus;5;-68
AP3;P2;Cambium;2,4;-87
AP3;P2;Cambium;5;-88
AP4;P2;Unifi;2,4;-75
AP4;P2;Unifi;5;-89
AP4;P2;Ruckus;2,4;-83
AP4;P2;Ruckus;5;-62
AP4;P2;Cambium;2,4;-88
AP4;P2;Cambium;5;-88
AP1;P3;Unifi;2,4;-62
AP1;P3;Unifi;5;-68
AP1;P3;Ruckus;2,4;-61
AP1;P3;Ruckus;5;-52
AP1;P3;Cambium;2,4;-74
AP1;P3;Cambium;5;-81
AP2;P3;Unifi;2,4;-70
AP2;P3;Unifi;5;-78
AP2;P3;Ruckus;2,4;-79
AP2;P3;Ruckus;5;-65
AP2;P3;Cambium;2,4;-73
AP2;P3;Cambium;5;-84
AP3;P3;Unifi;2,4;-66
AP3;P3;Unifi;5;-83
AP3;P3;Ruckus;2,4;-80
AP3;P3;Ruckus;5;-63
AP3;P3;Cambium;2,4;-88
AP3;P3;Cambium;5;-88
AP4;P3;Unifi;2,4;-70
AP4;P3;Unifi;5;-75
AP4;P3;Ruckus;2,4;-74
AP4;P3;Ruckus;5;-46
AP4;P3;Cambium;2,4;-86
AP4;P3;Cambium;5;-91
AP1;P4;Unifi;2,4;-66
AP1;P4;Unifi;5;-73
AP1;P4;Ruckus;2,4;-59
AP1;P4;Ruckus;5;-56
AP1;P4;Cambium;2,4;-71
AP1;P4;Cambium;5;-87
AP2;P4;Unifi;2,4;-64
AP2;P4;Unifi;5;-74
AP2;P4;Ruckus;2,4;-78
AP2;P4;Ruckus;5;-57
AP2;P4;Cambium;2,4;-73
AP2;P4;Cambium;5;-83
AP3;P4;Unifi;2,4;-66
AP3;P4;Unifi;5;-78
AP3;P4;Ruckus;2,4;-77
AP3;P4;Ruckus;5;-63
AP3;P4;Cambium;2,4;-80
AP3;P4;Cambium;5;-86
AP4;P4;Unifi;2,4;-71
AP4;P4;Unifi;5;-79
AP4;P4;Ruckus;2,4;-68
AP4;P4;Ruckus;5;-58
AP4;P4;Cambium;2,4;-83
AP4;P4;Cambium;5;-91
AP1;P5;Unifi;2,4;-69
AP1;P5;Unifi;5;-78
AP1;P5;Ruckus;2,4;-73
AP1;P5;Ruckus;5;-73
AP1;P5;Cambium;2,4;-82
AP1;P5;Cambium;5;-91
AP2;P5;Unifi;2,4;-64
AP2;P5;Unifi;5;-80
AP2;P5;Ruckus;2,4;-80
AP2;P5;Ruckus;5;-67
AP2;P5;Cambium;2,4;-83
AP2;P5;Cambium;5;-90
AP3;P5;Unifi;2,4;-59
AP3;P5;Unifi;5;-72
AP3;P5;Ruckus;2,4;-70
AP3;P5;Ruckus;5;-51
AP3;P5;Cambium;2,4;-72
AP3;P5;Cambium;5;-78
AP4;P5;Unifi;2,4;-60
AP4;P5;Unifi;5;-69
AP4;P5;Ruckus;2,4;-59
AP4;P5;Ruckus;5;-45
AP4;P5;Cambium;2,4;-73
AP4;P5;Cambium;5;-79
AP1;P6;Unifi;2,4;-76
AP1;P6;Unifi;5;-87
AP1;P6;Ruckus;2,4;-80
AP1;P6;Ruckus;5;-76
AP1;P6;Cambium;2,4;-90
AP1;P6;Cambium;5;-92
AP2;P6;Unifi;2,4;-74
AP2;P6;Unifi;5;-87
AP2;P6;Ruckus;2,4;-86
AP2;P6;Ruckus;5;-77
AP2;P6;Cambium;2,4;-83
AP2;P6;Cambium;5;-90
AP3;P6;Unifi;2,4;-57
AP3;P6;Unifi;5;-73
AP3;P6;Ruckus;2,4;-70
AP3;P6;Ruckus;5;-56
AP3;P6;Cambium;2,4;-72
AP3;P6;Cambium;5;-78
AP4;P6;Unifi;2,4;-61
AP4;P6;Unifi;5;-72
AP4;P6;Ruckus;2,4;-74
AP4;P6;Ruckus;5;-56
AP4;P6;Cambium;2,4;-76
AP4;P6;Cambium;5;-85
