Strategy;Group;N;ApId;PointId;Vendor;FrequencyGHz;Rssi;TrueDistance;EstimatedDistance;Error;AbsError
global;ALL;2.3522;AP1;P1;Unifi;2.4;-50.0;4.2580;2.6615;-1.5965;1.5965
global;ALL;2.3522;AP1;P1;Unifi;5;-65.0;4.2580;3.9372;-0.3208;0.3208
global;ALL;2.3522;AP1;P1;Ruckus;2.4;-64.0;4.2580;4.1347;-0.1233;0.1233
global;ALL;2.3522;AP1;P1;Ruckus;5;-42.0;4.2580;2.6099;-1.6481;1.6481
global;ALL;2.3522;AP1;P1;Cambium;2.4;-61.0;4.2580;2.7275;-1.5305;1.5305
global;ALL;2.3522;AP1;P1;Cambium;5;-69.0;4.2580;2.5344;-1.7236;1.7236
global;ALL;2.3522;AP2;P1;Unifi;2.4;-60.0;12.7680;7.0838;-5.6842;5.6842
global;ALL;2.3522;AP2;P1;Unifi;5;-70.0;12.7680;6.4232;-6.3448;6.3448
global;ALL;2.3522;AP2;P1;Ruckus;2.4;-68.0;12.7680;6.1164;-6.6516;6.6516
global;ALL;2.3522;AP2;P1;Ruckus;5;-54.0;12.7680;8.4487;-4.3193;4.3193
global;ALL;2.3522;AP2;P1;Cambium;2.4;-67.0;12.7680;4.9073;-7.8607;7.8607
global;ALL;2.3522;AP2;P1;Cambium;5;-78.0;12.7680;6.1164;-6.6516;6.6516
global;ALL;2.3522;AP3;P1;Unifi;2.4;-80.0;24.7710;50.1799;25.4089;25.4089
global;ALL;2.3522;AP3;P1;Unifi;5;-86.0;24.7710;30.7584;5.9874;5.9874
global;ALL;2.3522;AP3;P1;Ruckus;2.4;-74.0;24.7710;11.0046;-13.7664;13.7664
global;ALL;2.3522;AP3;P1;Ruckus;5;-70.0;24.7710;40.4577;15.6867;15.6867
global;ALL;2.3522;AP3;P1;Cambium;2.4;-85.0;24.7710;28.5811;3.8101;3.8101
global;ALL;2.3522;AP3;P1;Cambium;5;-88.0;24.7710;16.2790;-8.4920;8.4920
global;ALL;2.3522;AP4;P1;Unifi;2.4;-63.0;21.6610;9.5018;-12.1592;12.1592
global;ALL;2.3522;AP4;P1;Unifi;5;-75.0;21.6610;10.4790;-11.1820;11.1820
global;ALL;2.3522;AP4;P1;Ruckus;2.4;-68.0;21.6610;6.1164;-15.5446;15.5446
global;ALL;2.3522;AP4;P1;Ruckus;5;-51.0;21.6610;6.2987;-15.3623;15.3623
global;ALL;2.3522;AP4;P1;Cambium;2.4;-76.0;21.6610;11.8429;-9.8181;9.8181
global;ALL;2.3522;AP4;P1;Cambium;5;-88.0;21.6610;16.2790;-5.3820;5.3820
global;ALL;2.3522;AP1;P2;Unifi;2.4;-58.0;12.2330;5.8242;-6.4088;6.4088
global;ALL;2.3522;AP1;P2;Unifi;5;-69.0;12.2330;5.8242;-6.4088;6.4088
global;ALL;2.3522;AP1;P2;Ruckus;2.4;-74.0;12.2330;11.0046;-1.2284;1.2284
global;ALL;2.3522;AP1;P2;Ruckus;5;-53.0;12.2330;7.6608;-4.5722;4.5722
global;ALL;2.3522;AP1;P2;Cambium;2.4;-74.0;12.2330;9.7372;-2.4958;2.4958
global;ALL;2.3522;AP1;P2;Cambium;5;-82.0;12.2330;9.0479;-3.1851;3.1851
global;ALL;2.3522;AP2;P2;Unifi;2.4;-65.0;11.6520;11.5566;-0.0954;0.0954
global;ALL;2.3522;AP2;P2;Unifi;5;-71.0;11.6520;7.0838;-4.5682;4.5682
global;ALL;2.3522;AP2;P2;Ruckus;2.4;-72.0;11.6520;9.0479;-2.6041;2.6041
global;ALL;2.3522;AP2;P2;Ruckus;5;-60.0;11.6520;15.2009;3.5489;3.5489
global;ALL;2.3522;AP2;P2;Cambium;2.4;-72.0;11.6520;8.0058;-3.6462;3.6462
global;ALL;2.3522;AP2;P2;Cambium;5;-80.0;11.6520;7.4391;-4.2129;4.2129
global;ALL;2.3522;AP3;P2;Unifi;2.4;-76.0;31.5290;33.9217;2.3927;2.3927
global;ALL;2.3522;AP3;P2;Unifi;5;-86.0;31.5290;30.7584;-0.7706;0.7706
global;ALL;2.3522;AP3;P2;Ruckus;2.4;-77.0;31.5290;14.7610;-16.7680;16.7680
global;ALL;2.3522;AP3;P2;Ruckus;5;-68.0;31.5290;33.2640;1.7350;1.7350
global;ALL;2.3522;AP3;P2;Cambium;2.4;-87.0;31.5290;34.7620;3.2330;3.2330
global;ALL;2.3522;AP3;P2;Cambium;5;-88.0;31.5290;16.2790;-15.2500;15.2500
global;ALL;2.3522;AP4;P2;Unifi;2.4;-75.0;31.7480;30.7584;-0.9896;0.9896
global;ALL;2.3522;AP4;P2;Unifi;5;-89.0;31.7480;41.2576;9.5096;9.5096
global;ALL;2.3522;AP4;P2;Ruckus;2.4;-83.0;31.7480;26.5579;-5.1901;5.1901
global;ALL;2.3522;AP4;P2;Ruckus;5;-62.0;31.7480;18.4882;-13.2598;13.2598
global;ALL;2.3522;AP4;P2;Cambium;2.4;-88.0;31.7480;38.3370;6.5890;6.5890
global;ALL;2.3522;AP4;P2;Cambium;5;-88.0;31.7480;16.2790;-15.4690;15.4690
global;ALL;2.3522;AP1;P3;Unifi;2.4;-62.0;11.9730;8.6157;-3.3573;3.3573
global;ALL;2.3522;AP1;P3;Unifi;5;-68.0;11.9730;5.2811;-6.6919;6.6919
global;ALL;2.3522;AP1;P3;Ruckus;2.4;-61.0;11.9730;3.0825;-8.8905;8.8905
global;ALL;2.3522;AP1;P3;Ruckus;5;-52.0;11.9730;6.9464;-5.0266;5.0266
global;ALL;2.3522;AP1;P3;Cambium;2.4;-74.0;11.9730;9.7372;-2.2358;2.2358
global;ALL;2.3522;AP1;P3;Cambium;5;-81.0;11.9730;8.2042;-3.7688;3.7688
global;ALL;2.3522;AP2;P3;Unifi;2.4;-70.0;16.1730;18.8537;2.6807;2.6807
global;ALL;2.3522;AP2;P3;Unifi;5;-78.0;16.1730;14.0559;-2.1171;2.1171
global;ALL;2.3522;AP2;P3;Ruckus;2.4;-79.0;16.1730;17.9532;1.7802;1.7802
global;ALL;2.3522;AP2;P3;Ruckus;5;-65.0;16.1730;24.7990;8.6260;8.6260
global;ALL;2.3522;AP2;P3;Cambium;2.4;-73.0;16.1730;8.8292;-7.3438;7.3438
global;ALL;2.3522;AP2;P3;Cambium;5;-84.0;16.1730;11.0046;-5.1684;5.1684
global;ALL;2.3522;AP3;P3;Unifi;2.4;-66.0;16.3080;12.7451;-3.5629;3.5629
global;ALL;2.3522;AP3;P3;Unifi;5;-83.0;16.3080;22.9311;6.6231;6.6231
global;ALL;2.3522;AP3;P3;Ruckus;2.4;-80.0;16.3080;19.7995;3.4915;3.4915
global;ALL;2.3522;AP3;P3;Ruckus;5;-63.0;16.3080;20.3896;4.0816;4.0816
global;ALL;2.3522;AP3;P3;Cambium;2.4;-88.0;16.3080;38.3370;22.0290;22.0290
global;ALL;2.3522;AP3;P3;Cambium;5;-88.0;16.3080;16.2790;-0.0290;0.0290
global;ALL;2.3522;AP4;P3;Unifi;2.4;-70.0;12.1560;18.8537;6.6977;6.6977
global;ALL;2.3522;AP4;P3;Unifi;5;-75.0;12.1560;10.4790;-1.6770;1.6770
global;ALL;2.3522;AP4;P3;Ruckus;2.4;-74.0;12.1560;11.0046;-1.1514;1.1514
global;ALL;2.3522;AP4;P3;Ruckus;5;-46.0;12.1560;3.8608;-8.2952;8.2952
global;ALL;2.3522;AP4;P3;Cambium;2.4;-86.0;12.1560;31.5204;19.3644;19.3644
global;ALL;2.3522;AP4;P3;Cambium;5;-91.0;12.1560;21.8357;9.6797;9.6797
global;ALL;2.3522;AP1;P4;Unifi;2.4;-66.0;15.0260;12.7451;-2.2809;2.2809
global;ALL;2.3522;AP1;P4;Unifi;5;-73.0;15.0260;8.6157;-6.4103;6.4103
global;ALL;2.3522;AP1;P4;Ruckus;2.4;-59.0;15.0260;2.5344;-12.4916;12.4916
global;ALL;2.3522;AP1;P4;Ruckus;5;-56.0;15.0260;10.2758;-4.7502;4.7502
global;ALL;2.3522;AP1;P4;Cambium;2.4;-71.0;15.0260;7.2593;-7.7667;7.7667
global;ALL;2.3522;AP1;P4;Cambium;5;-87.0;15.0260;14.7610;-0.2650;0.2650
global;ALL;2.3522;AP2;P4;Unifi;2.4;-64.0;9.9420;10.4790;0.5370;0.5370
global;ALL;2.3522;AP2;P4;Unifi;5;-74.0;9.9420;9.5018;-0.4402;0.4402
global;ALL;2.3522;AP2;P4;Ruckus;2.4;-78.0;9.9420;16.2790;6.3370;6.3370
global;ALL;2.3522;AP2;P4;Ruckus;5;-57.0;9.9420;11.3326;1.3906;1.3906
global;ALL;2.3522;AP2;P4;Cambium;2.4;-73.0;9.9420;8.8292;-1.1128;1.1128
global;ALL;2.3522;AP2;P4;Cambium;5;-83.0;9.9420;9.9784;0.0364;0.0364
global;ALL;2.3522;AP3;P4;Unifi;2.4;-66.0;14.0530;12.7451;-1.3079;1.3079
global;ALL;2.3522;AP3;P4;Unifi;5;-78.0;14.0530;14.0559;0.0029;0.0029
global;ALL;2.3522;AP3;P4;Ruckus;2.4;-77.0;14.0530;14.7610;0.7080;0.7080
global;ALL;2.3522;AP3;P4;Ruckus;5;-63.0;14.0530;20.3896;6.3366;6.3366
global;ALL;2.3522;AP3;P4;Cambium;2.4;-80.0;14.0530;17.5191;3.4661;3.4661
global;ALL;2.3522;AP3;P4;Cambium;5;-86.0;14.0530;13.3845;-0.6685;0.6685
global;ALL;2.3522;AP4;P4;Unifi;2.4;-71.0;18.0120;20.7927;2.7807;2.7807
global;ALL;2.3522;AP4;P4;Unifi;5;-79.0;18.0120;15.5014;-2.5106;2.5106
global;ALL;2.3522;AP4;P4;Ruckus;2.4;-68.0;18.0120;6.1164;-11.8956;11.8956
global;ALL;2.3522;AP4;P4;Ruckus;5;-58.0;18.0120;12.4980;-5.5140;5.5140
global;ALL;2.3522;AP4;P4;Cambium;2.4;-83.0;18.0120;23.4992;5.4872;5.4872
global;ALL;2.3522;AP4;P4;Cambium;5;-91.0;18.0120;21.8357;3.8237;3.8237
global;ALL;2.3522;AP1;P5;Unifi;2.4;-69.0;18.8370;17.0956;-1.7414;1.7414
global;ALL;2.3522;AP1;P5;Unifi;5;-78.0;18.8370;14.0559;-4.7811;4.7811
global;ALL;2.3522;AP1;P5;Ruckus;2.4;-73.0;18.8370;9.9784;-8.8586;8.8586
global;ALL;2.3522;AP1;P5;Ruckus;5;-73.0;18.8370;54.2676;35.4306;35.4306
global;ALL;2.3522;AP1;P5;Cambium;2.4;-82.0;18.8370;21.3078;2.4708;2.4708
global;ALL;2.3522;AP1;P5;Cambium;5;-91.0;18.8370;21.8357;2.9987;2.9987
global;ALL;2.3522;AP2;P5;Unifi;2.4;-64.0;20.5180;10.4790;-10.0390;10.0390
global;ALL;2.3522;AP2;P5;Unifi;5;-80.0;20.5180;17.0956;-3.4224;3.4224
global;ALL;2.3522;AP2;P5;Ruckus;2.4;-80.0;20.5180;19.7995;-0.7185;0.7185
global;ALL;2.3522;AP2;P5;Ruckus;5;-67.0;20.5180;30.1621;9.6441;9.6441
global;ALL;2.3522;AP2;P5;Cambium;2.4;-83.0;20.5180;23.4992;2.9812;2.9812
global;ALL;2.3522;AP2;P5;Cambium;5;-90.0;20.5180;19.7995;-0.7185;0.7185
global;ALL;2.3522;AP3;P5;Unifi;2.4;-59.0;11.2430;6.4232;-4.8198;4.8198
global;ALL;2.3522;AP3;P5;Unifi;5;-72.0;11.2430;7.8123;-3.4307;3.4307
global;ALL;2.3522;AP3;P5;Ruckus;2.4;-70.0;11.2430;7.4391;-3.8039;3.8039
global;ALL;2.3522;AP3;P5;Ruckus;5;-51.0;11.2430;6.2987;-4.9443;4.9443
global;ALL;2.3522;AP3;P5;Cambium;2.4;-72.0;11.2430;8.0058;-3.2372;3.2372
global;ALL;2.3522;AP3;P5;Cambium;5;-78.0;11.2430;6.1164;-5.1266;5.1266
global;ALL;2.3522;AP4;P5;Unifi;2.4;-60.0;7.7520;7.0838;-0.6682;0.6682
global;ALL;2.3522;AP4;P5;Unifi;5;-69.0;7.7520;5.8242;-1.9278;1.9278
global;ALL;2.3522;AP4;P5;Ruckus;2.4;-59.0;7.7520;2.5344;-5.2176;5.2176
