Strategy,Group,N,Rssi0Offset,Objective,Count,MeanError,MAE,MedianAE,RMSE,P90,MaxAE,ApIds
global,ALL,3.1079,0.00,3.1538,24,-0.6643,6.8881,3.1538,10.2812,18.7907,27.4124,AP1 AP2 AP3 AP4
vendor,Cisco,3.1816,0.00,1.2747,12,-3.2975,3.4896,1.2747,5.1369,9.4293,10.1036,AP1 AP2
vendor,TPLink,3.4365,0.00,0.3833,6,1.7199,1.8086,0.3833,2.9394,4.8556,6.3188,AP4
vendor,Ubiquiti,2.6228,0.00,0.9143,6,-3.6373,3.9096,0.9143,6.6224,10.4061,15.1101,AP3
band,2.4GHz,2.6971,0.00,1.3057,12,0.0431,5.0601,1.3057,8.7067,16.7891,22.2784,AP1 AP3
band,5GHz,3.4239,0.00,1.3908,12,-1.4680,3.4889,1.3908,5.4426,6.9046,14.9502,AP2 AP4
vendor-band,Cisco @ 2.4GHz,2.8181,0.00,0.1128,6,1.4280,2.3666,0.1128,4.6912,6.9508,11.1571,AP1
vendor-band,Cisco @ 5GHz,3.1769,0.00,0.3516,6,-0.8120,1.2547,0.3516,2.4171,3.2822,5.8476,AP2
vendor-band,TPLink @ 5GHz,3.4365,0.00,0.3833,6,1.7199,1.8086,0.3833,2.9394,4.8556,6.3188,AP4
vendor-band,Ubiquiti @ 2.4GHz,2.6228,0.00,0.9143,6,-3.6373,3.9096,0.9143,6.6224,10.4061,15.1101,AP3
per-ap,AP1,2.8181,0.00,0.1128,6,1.4280,2.3666,0.1128,4.6912,6.9508,11.1571,AP1
per-ap,AP2,3.1769,0.00,0.3516,6,-0.8120,1.2547,0.3516,2.4171,3.2822,5.8476,AP2
per-ap,AP3,2.6228,0.00,0.9143,6,-3.6373,3.9096,0.9143,6.6224,10.4061,15.1101,AP3
per-ap,AP4,3.4365,0.00,0.3833,6,1.7199,1.8086,0.3833,2.9394,4.8556,6.3188,AP4
