N;ALL
1.0000;298.3145
1.0100;281.2545
1.0200;265.4434
1.0300;250.7708
1.0400;237.1376
1.0500;224.4548
1.0600;212.6420
1.0700;201.6269
1.0800;191.3439
1.0900;181.7340
1.1000;172.7433
1.1100;164.0762
1.1200;155.9259
1.1300;148.2794
1.1400;141.0988
1.1500;134.3493
1.1600;127.9991
1.1700;122.0192
1.1800;116.3832
1.1900;111.0667
1.2000;106.0473
1.2100;101.3047
1.2200;96.8199
1.2300;92.5757
1.2400;88.5561
1.2500;84.7464
1.2600;81.1329
1.2700;77.7033
1.2800;74.4457
1.2900;71.3496
1.3000;68.4048
1.3100;65.6023
1.3200;62.9335
1.3300;60.5833
1.3400;58.3458
1.3500;56.2100
1.3600;54.1701
1.3700;52.2208
1.3800;50.3570
1.3900;48.5739
1.4000;46.8673
1.4100;45.2912
1.4200;43.8262
1.4300;42.4213
1.4400;41.0735
1.4500;39.7528
1.4600;38.4826
1.4700;37.2625
1.4800;36.0897
1.4900;34.9159
1.5000;33.7299
1.5100;32.5892
1.5200;31.4915
1.5300;30.4348
1.5400;29.4172
1.5500;28.0507
1.5600;26.7218
1.5700;25.4427
1.5800;24.4150
1.5900;23.5187
1.6000;22.6536
1.6100;21.8185
1.6200;21.0120
1.6300;20.2329
1.6400;19.4798
1.6500;18.7518
1.6600;18.1248
1.6700;17.5480
1.6800;16.9894
1.6900;16.4482
1.7000;15.7971
1.7100;14.9086
1.7200;14.3772
1.7300;13.8781
1.7400;13.3941
1.7500;12.9244
1.7600;12.4685
1.7700;12.0259
1.7800;11.6215
1.7900;11.4806
1.8000;11.1982
1.8100;10.9740
1.8200;10.7147
1.8300;10.4289
1.8400;9.9861
1.8500;9.6547
1.8600;9.2065
1.8700;8.7212
1.8800;8.4181
1.8900;8.0686
1.9000;7.8911
1.9100;7.7437
1.9200;7.4114
1.9300;7.1091
1.9400;6.9368
1.9500;6.8892
1.9600;6.8076
1.9700;6.7371
1.9800;6.5838
1.9900;6.3014
2.0000;6.1725
2.0100;5.9532
2.0200;5.9806
2.0300;5.9174
2.0400;5.6101
2.0500;5.4375
2.0600;5.2853
2.0700;5.2649
2.0800;5.2421
2.0900;5.2585
2.1000;5.2154
2.1100;5.1031
2.1200;5.1689
2.1300;5.2018
2.1400;5.1050
2.1500;4.9734
2.1600;4.9093
2.1700;4.8151
2.1800;4.5638
2.1900;4.5342
2.2000;4.5203
2.2100;4.4145
2.2200;4.3224
2.2300;4.3822
2.2400;4.4409
2.2500;4.3420
2.2600;4.2354
2.2700;4.3469
2.2800;4.4958
2.2900;4.4572
2.3000;4.4035
2.3100;4.3068
2.3200;4.1831
2.3300;4.1774
2.3400;4.1562
2.3500;3.8937
2.3600;3.8766
2.3700;3.9292
2.3800;3.9944
2.3900;4.0736
2.4000;4.1004
2.4100;4.1274
2.4200;4.2245
2.4300;4.1734
2.4400;4.2320
2.4500;4.0920
2.4600;4.1990
2.4700;4.2160
2.4800;4.1866
2.4900;4.2487
2.5000;4.3317
2.5100;4.3516
2.5200;4.4247
2.5300;4.4911
2.5400;4.6329
2.5500;4.7670
2.5600;4.8379
2.5700;4.7956
2.5800;4.8475
2.5900;4.9198
2.6000;4.9910
2.6100;5.0610
2.6200;5.1408
2.6300;5.1675
2.6400;5.2128
2.6500;5.2575
2.6600;5.3586
2.6700;5.4426
2.6800;5.5253
2.6900;5.5490
2.7000;5.5298
2.7100;5.5521
2.7200;5.5904
2.7300;5.6375
2.7400;5.7889
2.7500;5.8777
2.7600;5.9158
2.7700;5.9138
2.7800;5.9904
2.7900;6.0270
2.8000;6.0126
2.8100;6.0470
2.8200;6.0810
2.8300;6.1341
2.8400;6.2321
2.8500;6.3003
2.8600;6.3575
2.8700;6.4196
2.8800;6.5235
2.8900;6.5332
2.9000;6.6006
2.9100;6.5403
2.9200;6.5838
2.9300;6.6846
2.9400;6.7457
2.9500;6.8033
2.9600;6.8601
2.9700;6.9092
2.9800;6.9322
2.9900;6.9549
3.0000;6.8866
3.0100;6.9233
3.0200;6.9778
3.0300;7.0635
3.0400;7.0963
3.0500;7.1173
3.0600;7.1787
3.0700;7.2040
3.0800;7.2341
3.0900;7.2689
3.1000;7.3033
3.1100;7.3662
3.1200;7.4452
3.1300;7.5231
3.1400;7.5749
3.1500;7.6100
3.1600;7.6447
3.1700;7.6789
3.1800;7.7155
3.1900;7.7599
3.2000;7.8178
3.2100;7.8555
3.2200;7.9046
3.2300;7.9531
3.2400;8.0010
3.2500;8.0457
3.2600;8.0776
3.2700;8.1092
3.2800;8.1709
